,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject99,2.066776692,1.953454248,2.32040774,1.970471965,2.213282777,2.022734415,2.401155265,2.177638395,2.20186279,2.029564495,2.256574187,2.678826895,2.575841267,2.323215567,2.699705852,2.201227789,2.178856132,2.469119147,2.552871275,2.708765489,2.205575621,2.200324062,1.99388662,2.135988619,2.620506167,2.780590728,2.628525653,2.690459192,2.628469844,2.575547742,2.354127353,2.244371084,2.184508945,2.06717593,1.759107895,1.543428513,2.187817247,2.341904303,2.403782864,2.251051068,1.991795931,2.069462624,2.226190751,1.900620891,1.720721745,1.911035978,1.862249477,1.981659589,1.493210564,1.657309649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject100,1.40354691,1.298628153,1.335224993,1.217880181,1.229451527,1.300969241,1.261978591,1.19786015,1.184040261,1.098303432,1.226043987,1.47014966,1.450611641,1.197977026,1.446570704,1.266396512,1.239363508,1.381255684,1.324634605,1.497526867,1.353934159,1.290290421,1.074003257,1.181062509,1.354913194,1.63652634,1.349398597,1.537370771,1.663066513,1.855075173,1.322743074,1.224590686,1.194792318,1.152704867,0.900902348,0.733276142,1.100899078,1.25185383,1.398755938,1.35190924,1.301674864,1.415320622,1.165809107,1.261355056,1.296241819,1.313188654,1.178533154,1.303490897,1.135154234,1.239916722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject101,1.757896744,1.751189488,1.88478732,1.85927056,1.972099409,1.820677189,2.077152656,1.613796945,1.592171879,1.376473195,1.478339499,2.099055383,2.008663239,1.830717805,2.033653831,1.742798038,1.687780366,2.315682141,1.858889683,1.959190837,1.572370437,1.554643891,1.549233779,1.589106816,1.763643842,2.12753888,2.244227491,2.251969198,2.109609649,2.059756236,2.063357598,1.906839317,1.953576492,1.715442928,1.879474951,1.530154483,1.991656705,1.949845761,1.83441316,1.877967857,1.68659318,1.677972482,1.220745078,1.209970675,1.650422741,1.435915819,1.586267453,1.657173058,1.197742724,1.51410353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject102,1.635066165,1.627679941,1.670237749,1.57704729,1.723479906,1.625683201,1.717107795,1.363768865,1.506744978,1.458795727,1.535022609,1.683302947,1.694432821,1.667655164,1.850862272,1.613025388,1.718825983,1.700551049,1.624906148,1.706691238,1.654446876,1.651685155,1.345293354,1.471059591,1.805404329,1.977357793,1.837788908,1.93549298,1.980232836,1.961524772,1.656823487,1.631894122,1.442395931,1.502615998,1.070875854,1.07013371,1.60151523,1.723240609,1.682667597,1.580404565,1.600570681,1.632395622,1.564463157,1.597456545,1.513157946,1.446348889,1.495323555,1.587638303,1.158098785,1.271761436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject103,1.493959938,1.404009756,1.49723885,1.453290383,1.698556362,1.613072952,1.618748352,1.343593271,1.464530437,1.203861298,1.375217988,1.543992609,1.67410137,1.36341267,1.784709873,1.640686989,1.575335376,1.617318395,1.554711021,1.715398254,1.5765843,1.495506777,1.250384696,1.423764376,1.687670278,1.937205207,1.860814607,2.023465367,2.230427141,2.254799354,1.989184278,1.708160272,1.719409022,1.534114173,1.53338318,1.094576896,1.761399553,1.811848645,1.797665363,1.616418445,1.647242982,1.6547285,1.464992522,1.361086595,1.730217194,1.572042682,1.410958116,1.463374447,1.110035591,1.33938023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject104,1.481628002,1.471832872,1.512202114,1.570126132,1.48101233,1.509644443,1.56019242,1.167905122,1.220748327,1.11827197,1.170494941,1.502907536,1.457505474,1.376822632,1.570438757,1.377621225,1.40926513,1.59166509,1.48155161,1.553356412,1.53767528,1.594969341,1.096908439,1.240585031,1.572377627,1.758443156,1.810128653,1.851071493,1.665228093,1.604181514,1.462252748,1.496416261,1.392504804,1.451766785,1.267287363,1.142374935,1.521717617,1.584477325,1.481479365,1.44331837,1.533263082,1.637907445,1.327637673,1.456653777,1.528412662,1.56687453,1.258643752,1.372837863,1.101147677,1.223095536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject105,1.283101011,1.278210089,1.357566979,1.229958679,1.291502295,1.282738021,1.224079089,1.055460343,1.04982364,0.944862865,0.96496721,1.304497628,1.173602494,1.113204664,1.327317461,1.082094478,1.031799246,1.434967191,1.094170827,1.150337926,1.437428682,1.403931794,0.9215425,1.152702893,1.31449289,1.556412672,1.379948279,1.526755831,1.54786398,1.782678454,1.233400049,1.098183273,1.160384815,1.019642747,0.93097828,0.856612006,1.071914252,1.167412809,1.284079246,1.158783119,1.320643318,1.380898096,1.285572246,1.245273502,1.361295339,1.350231953,1.159553803,1.101273254,1.178763079,1.259504195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject106,1.038289005,1.026234566,1.117667755,1.089349027,0.944915491,0.992050083,0.963234318,0.958521118,1.013318663,0.838367386,0.82746345,1.006406283,1.031135539,0.960883124,0.940887768,0.912890653,0.868095633,0.927500495,0.96428632,0.950263293,1.287506863,1.173889823,0.793212295,0.899422499,1.178867455,1.180141948,1.176381886,1.139502418,1.331941849,1.488390826,1.138988205,1.02017083,0.983637729,0.911719884,0.851260326,0.759592528,0.884955931,0.969712014,1.097237454,1.140186056,1.216843046,1.198252133,1.305091081,1.257239743,1.192941549,1.197801278,0.957649651,0.936233199,0.951602392,0.979405007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject107,1.190575765,1.088793988,1.07915173,1.039103631,1.174415888,1.1289043,0.932594422,0.954335921,0.984650642,0.82323939,0.803318808,1.046922258,1.031843339,0.962947023,1.051324142,0.975348192,0.956473806,1.029215127,1.017109586,1.087826892,1.366400259,1.238584955,0.996015605,1.044363768,1.01667366,1.147836498,1.085272512,1.079864296,1.396533215,1.587630688,1.037712883,1.114971191,0.956008133,0.900544071,0.917979462,0.93566007,1.045001125,1.077697052,1.200992308,1.087890104,1.258178472,1.211867676,1.230038145,1.225358218,1.288346741,1.268610989,0.988547796,0.994015441,1.106245381,1.158823338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject108,1.861808283,1.851447958,1.875125274,1.649477443,2.01458527,1.854902739,1.849537964,1.734618625,1.712913298,1.56782468,1.766577008,1.976093882,1.839099364,1.924608062,2.148162076,1.998821088,1.871018113,2.041618614,1.81859257,1.959204834,1.952758656,2.001916414,1.587003211,1.747706995,1.895623109,2.191714386,2.298626826,2.34213684,2.353155348,2.151433989,2.154802878,1.907648961,1.967478631,1.771310506,1.580233186,1.373502633,1.929313012,1.964250239,2.108921425,1.923090492,1.709601336,1.863848601,1.883459318,1.982953113,1.605421824,1.737543958,1.313309339,1.441657253,1.21164144,1.370928143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject109,1.907790654,1.564270634,2.157959984,1.706330496,2.052886341,1.736390115,1.941485557,1.712910878,1.752517903,1.745567919,1.785371125,2.07578348,1.941906848,2.008172863,2.062797214,1.759317354,1.712203373,2.098215773,1.945140562,1.904886528,2.133643548,1.575070419,1.796616324,1.927997028,2.230100668,2.226147803,2.354011243,2.429363277,2.415011802,2.467328822,2.068958872,1.713691679,1.633328172,1.555493444,1.319630377,1.148069089,1.773829632,1.870537587,1.898245344,1.699473968,1.706822218,1.491687062,1.937978477,1.466569423,1.800141644,1.597962821,1.668409836,1.409496769,1.413158172,1.185877659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject110,1.542227492,1.498830945,1.610943349,1.458413401,1.640760966,1.520125267,1.521341366,1.506768908,1.525410044,1.516002106,1.546150626,1.741592786,1.670950796,1.699104225,1.806528622,1.63675213,1.635575875,1.65531155,1.68013319,1.783864872,1.609672463,1.52851849,1.344806,1.444268308,1.795856257,1.913799427,1.835818519,1.954892143,2.135448199,2.116817769,1.786330612,1.713498671,1.606592522,1.574978574,1.361215091,1.205366761,1.631995797,1.696035486,1.667766347,1.59929702,1.597949088,1.60150033,1.550002434,1.57778289,1.535083862,1.41858126,1.482399076,1.499209655,1.203941655,1.308732064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject111,1.854845284,1.493074147,1.89859548,1.745737744,1.831848446,1.564633922,1.709714221,1.614609358,1.696528821,1.633181491,1.664227665,1.968972054,1.882881557,1.893124296,1.99008801,1.690965322,1.733358892,1.874891101,1.913940289,1.967483818,2.06173946,1.866772417,1.691866907,1.720807636,2.064850705,2.186088297,2.145175827,2.194968374,2.031030046,2.086837398,1.994418974,1.763617155,1.588028555,1.452972596,1.364603528,1.31933206,1.734404971,1.952698711,2.014244336,1.809455963,1.83610226,1.878314254,2.282003642,1.92069038,1.617723659,1.701687408,1.718732459,1.827735911,1.474891884,1.640904087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject112,1.372731584,1.426150939,1.372584481,1.287821611,1.495459191,1.386728303,1.456760539,1.483421055,1.436277576,1.43154513,1.414589789,1.548044722,1.511796304,1.492189299,1.545128189,1.557224817,1.459191196,1.531907301,1.445460263,1.525987241,1.285315297,1.356622324,1.341010609,1.371868545,1.515056542,1.623655831,1.526303866,1.561297583,1.618658875,1.660644833,1.565136742,1.404740381,1.4324013,1.239527018,1.180195891,1.057047056,1.33693599,1.354142207,1.466646427,1.372269592,1.387750973,1.373755655,1.28833932,1.325698504,1.394352674,1.318321209,1.237982645,1.24616975,1.0989343,1.163482952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
